"","x","y","dist","tc","lstmax","ai","dist_tree"
"2755193",-54.7400096476924,-2.41925289166228,304.885803222656,0.476996541023254,43.90378934,0.981971025466919,1616.73547363281
"2755194",-54.7394706585219,-2.41925289166228,259.958740234375,0.325468748807907,43.73630636,0.993359446525574,1643.73828125
"2755195",-54.7389316693515,-2.41925289166228,259.958740234375,0.325468748807907,45.37011992,0.993359446525574,1666.25085449219
"2755196",-54.738392680181,-2.41925289166228,259.958740234375,0.325468748807907,48.26860088,0.997838139533997,1668.50354003906
"2755197",-54.7378536910105,-2.41925289166228,38.7637710571289,0.0652951374650002,49.9058324600001,0.997838139533997,1665.80920410156
"2755198",-54.73731470184,-2.41925289166228,38.7637710571289,0.0652951374650002,49.97761088,0.932215631008148,1665.0673828125
"2755199",-54.7367757126696,-2.41925289166228,38.7637710571289,0.0652951374650002,49.29058886,0.932215631008148,1665.80920410156
"2755200",-54.7362367234991,-2.41925289166228,38.7637710571289,0.0652951374650002,48.2207486,0.637362658977509,1668.50354003906
"2755201",-54.7356977343286,-2.41925289166228,116.703369140625,0.291875004768372,47.82425828,0.637362658977509,1673.34252929688
"2755202",-54.7351587451582,-2.41925289166228,116.703369140625,0.291875004768372,46.89455684,0.986348271369934,1680.30749511719
"2755203",-54.7346197559877,-2.41925289166228,116.703369140625,0.291875004768372,45.70508588,0.986348271369934,1688.25695800781
"2755204",-54.7340807668172,-2.41925289166228,108.182266235352,0.384913206100464,45.1616207,0.98399144411087,0
"2755205",-54.7335417776467,-2.41925289166228,108.182266235352,0.384913206100464,44.76513038,0.98399144411087,0
"2755206",-54.7330027884763,-2.41925289166228,108.182266235352,0.384913206100464,45.03857198,0.954581141471863,1706.45300292969
"2755207",-54.7324637993058,-2.41925289166228,108.182266235352,0.384913206100464,46.6826396,0.954581141471863,1731.0634765625
"2755208",-54.7319248101353,-2.41925289166228,47.697437286377,0.16184027493,47.45511212,0.950298190116882,1761.96215820312
"2755209",-54.7313858209649,-2.41925289166228,47.697437286377,0.16184027493,47.82084026,0.950298190116882,1782.25
"2755210",-54.7308468317944,-2.41925289166228,47.697437286377,0.16184027493,47.86869254,0.943396210670471,1803.30578613281
"2755211",-54.7303078426239,-2.41925289166228,6.7631311416626,0.0260243061929941,47.71488164,0.943396210670471,0
"2755212",-54.7297688534534,-2.41925289166228,6.7631311416626,0.0260243061929941,48.4805181200001,0.961333811283112,1863.85498046875
"2755213",-54.729229864283,-2.41925289166228,6.7631311416626,0.0260243061929941,48.3916496000001,0.961333811283112,1883.10424804688
"2755214",-54.7286908751125,-2.41925289166228,6.7631311416626,0.0260243061929941,47.74906184,0.930011332035065,1913.96020507812
"2755215",-54.728151885942,-2.41925289166228,43.5738525390625,0.177760422229767,47.85160244,0.930011332035065,1942.23986816406
"2755216",-54.7276128967715,-2.41925289166228,43.5738525390625,0.177760422229767,48.02933948,0.946825802326202,1975.90002441406
"2755217",-54.7270739076011,-2.41925289166228,43.5738525390625,0.177760422229767,47.5371446,0.946825802326202,2009.04333496094
"2755218",-54.7265349184306,-2.41925289166228,59.0857124328613,0.207864582538605,47.56790678,0.938969492912292,2043.18542480469
"2755219",-54.7259959292601,-2.41925289166228,59.0857124328613,0.207864582538605,48.02250344,0.938969492912292,2078.49584960938
"2755220",-54.7254569400897,-2.41925289166228,59.0857124328613,0.207864582538605,48.29936306,0.956167161464691,2114.91625976562
"2755221",-54.7249179509192,-2.41925289166228,47.0104370117188,0.174722224473953,47.83793036,0.956167161464691,2152.39038085938
"2755222",-54.7243789617487,-2.41925289166228,47.0104370117188,0.174722224473953,47.48929232,0.94239753484726,2190.86376953125
"2755223",-54.7238399725782,-2.41925289166228,47.0104370117188,0.174722224473953,47.47903826,0.94239753484726,2230.28491210938
"2755224",-54.7233009834078,-2.41925289166228,47.0104370117188,0.174722224473953,50.29206872,0.944819033145905,2270.6044921875
"2755225",-54.7227619942373,-2.41925289166228,42.69189453125,0.133038192987442,50.26130654,0.944819033145905,2311.74658203125
"2755226",-54.7222230050668,-2.41925289166228,42.69189453125,0.133038192987442,49.98444692,0.946412444114685,2352.63842773438
"2755227",-54.7216840158964,-2.41925289166228,42.69189453125,0.133038192987442,49.74518552,0.946412444114685,2391.06860351562
"2755228",-54.7211450267259,-2.41925289166228,26.861686706543,0.0855208337306976,49.60846472,0.938685655593872,2425.53173828125
"2755229",-54.7206060375554,-2.41925289166228,26.861686706543,0.0855208337306976,49.16754014,0.938685655593872,2466
"2755230",-54.7200670483849,-2.41925289166228,26.861686706543,0.0855208337306976,48.72319754,0.912301361560822,2506.701171875
"2755231",-54.7195280592145,-2.41925289166228,26.861686706543,0.0855208337306976,49.5366863,0.912301361560822,2546.87768554688
"2755232",-54.718989070044,-2.41925289166228,13.9619092941284,0.0366666652262211,49.8032918600001,0.920736014842987,2587.81909179688
"2755233",-54.7184500808735,-2.41925289166228,13.9619092941284,0.0366666652262211,50.0528073200001,0.920736014842987,2629.48510742188
"2755234",-54.7179110917031,-2.41925289166228,13.9619092941284,0.0366666652262211,49.77936572,0.900178253650665,2671.70629882812
"2755235",-54.7173721025326,-2.41925289166228,21.8787536621094,0.0554513894021511,49.6221368,0.900178253650665,2714.10815429688
"2755236",-54.7168331133621,-2.41925289166228,21.8787536621094,0.0554513894021511,49.86823424,0.917417407035828,2756.65454101562
"2755237",-54.7162941241916,-2.41925289166228,21.8787536621094,0.0554513894021511,49.40338352,0.917417407035828,2799.67236328125
"2755238",-54.7157551350212,-2.41925289166228,21.8787536621094,0.0554513894021511,48.55913258,0.935813128948212,2841.1669921875
"2755239",-54.7152161458507,-2.41925289166228,36.9286193847656,0.0618576407432556,49.2803348,0.935813128948212,2884.78564453125
"2755240",-54.7146771566802,-2.41925289166228,36.9286193847656,0.0618576407432556,49.82379998,0.88965517282486,2941.18676757812
"2755241",-54.7141381675098,-2.41925289166228,36.9286193847656,0.0618576407432556,49.9058324600001,0.88965517282486,0
"2755242",-54.7135991783393,-2.41925289166228,82.9571838378906,0.112430557608604,49.76227562,0.949445128440857,3025.49829101562
"2755243",-54.7130601891688,-2.41925289166228,82.9571838378906,0.112430557608604,49.32476906,0.949445128440857,3073.14575195312
